"LeadH","InstH","CorrH","Scopus","WoS","FWCit","AbsViews","Mendelay","JIFPerc","Impact1","Impact5","Altmetric","SocMedia"
34,999,34,15,12,1.03,917,37,78.169,1.913,2.051,0,0
4,999,4,49,42,3.75,923,84,78.169,1.913,2.051,3,0
8,250,11,39,35,1.55,243,66,78.169,1.913,2.051,0,0
46,350,46,81,72,3.26,1130,182,78.169,1.913,2.051,2,4
9,250,9,7,5,0.17,682,42,78.169,1.913,2.051,0,0
18,999,18,17,13,0.52,599,50,78.169,1.913,2.051,11,11
4,350,13,13,10,1.03,2188,55,78.169,1.913,2.051,0,0
17,125,17,9,6,0.52,230,14,78.169,1.913,2.051,0,0
6,250,6,14,13,0.34,231,17,78.169,1.913,2.051,0,0
12,250,12,69,58,2.92,983,145,78.169,1.913,2.051,0,0
8,999,8,11,10,0.52,1094,50,78.169,1.913,2.051,0,0
9,350,9,40,38,0.86,1103,73,78.169,1.913,2.051,0,0
15,999,15,27,19,1.55,621,21,78.169,1.913,2.051,0,0
10,55,10,28,20,2.04,944,148,78.169,1.913,2.051,2,2
7,999,7,19,16,1.02,574,46,78.169,1.913,2.051,0,0
21,175,21,1,2,0,171,17,78.169,1.913,2.051,0,0
6,999,1,22,22,0.34,287,64,78.169,1.913,2.051,0,0
5,350,5,2,0,0,641,33,78.169,1.913,2.051,0,0
3,999,3,13,14,1.19,484,17,78.169,1.913,2.051,0,0
16,83,16,5,4,0.28,3309,46,78.169,1.913,2.051,3,0
1,999,1,15,12,0.85,1251,41,78.169,1.913,2.051,0,0
16,999,16,10,9,0.68,762,33,78.169,1.913,2.051,0,0
26,999,26,17,12,1.02,1089,37,78.169,1.913,2.051,0,0
3,999,3,6,4,0.51,377,12,78.169,1.913,2.051,40,0
4,83,4,6,5,0.51,714,42,78.169,1.913,2.051,0,0
2,999,2,9,9,0.68,588,29,78.169,1.913,2.051,0,0
37,999,37,36,25,1.87,2062,71,78.169,1.913,2.051,0,0
9,999,9,19,18,0.34,1048,46,78.169,1.913,2.051,0,0
6,999,5,23,14,1.53,749,36,78.169,1.913,2.051,8,0
1,999,1,15,13,1.53,1170,36,78.169,1.913,2.051,1,1
